team,elo
Spain,2129
Argentina,2128
France,2084
England,2055
Portugal,1967
Colombia,1998
Brazil,1978
Netherlands,1944
Germany,1939
Norway,1929
Croatia,1881
Japan,1910
Ecuador,1890
Mexico,1896
Belgium,1879
Uruguay,1870
Switzerland,1885
Senegal,1839
Turkey,1849
Morocco,1840
Australia,1839
Austria,1857
Scotland,1794
South Korea,1771
Paraguay,1780
United States,1780
Algeria,1759
Canada,1777
Iran,1756
Sweden,1755
Ivory Coast,1743
Panama,1683
Uzbekistan,1698
Czechia,1696
Egypt,1711
Jordan,1653
DR Congo,1674
Bosnia and Herzegovina,1596
Iraq,1592
Cape Verde,1606
Saudi Arabia,1598
Tunisia,1585
New Zealand,1578
Haiti,1536
South Africa,1527
Ghana,1557
Qatar,1437
Curaçao,1427
